        angle value;0;20;40;60;80;90
;1.96;1.83;1.74;1.60;1.55;1.41
;1.95;1.85;1.75;1.63;1.53;1.38
;1.95;1.85;1.75;1.63;1.53;1.40
;1.94;1.88;1.81;1.61;1.50;1.41
;1.94;1.86;1.78;1.68;1.53;1.40
;1.94;1.87;1.74;1.66;1.54;1.37
;1.93;1.83;1.78;1.66;1.53;1.39
;1.96;1.85;1.75;1.66;1.57;1.40
;1.94;1.85;1.77;1.64;1.55;1.41
;1.94;1.86;1.74;1.63;1.54;1.40
;1.93;1.86;1.73;1.60;1.55;1.40
;1.93;1.88;1.77;1.60;1.52;1.38
;1.94;1.85;1.75;1.62;1.51;1.39
;1.94;1.87;1.77;1.66;1.55;1.44
;1.95;1.88;1.77;1.64;1.57;1.44
;1.95;1.84;1.77;1.65;1.57;1.40
;1.95;1.86;1.75;1.63;1.56;1.41
;1.94;1.87;1.81;1.65;1.55;1.39
;1.93;1.84;1.81;1.60;1.55;1.39
;1.93;1.90;1.77;1.64;1.55;1.40
;1.94;1.90;1.74;1.63;1.53;1.39
;1.95;1.88;1.79;1.62;1.55;1.44
;1.95;1.88;1.73;1.64;1.54;1.40
;1.95;1.89;1.76;1.62;1.55;1.43
;1.94;1.89;1.78;1.62;1.53;1.41
;1.94;1.86;1.77;1.60;1.55;1.43
;1.94;1.91;1.82;1.59;1.53;1.47
;1.93;1.89;1.79;1.59;1.53;1.43
;1.94;1.92;1.77;1.63;1.52;1.38
;1.95;1.87;1.78;1.62;1.52;1.44
;1.95;1.87;1.77;1.61;1.57;1.40
;1.93;1.90;1.77;1.60;1.55;1.39
;1.94;1.86;1.74;1.63;1.56;1.39
;1.94;1.84;1.78;1.65;1.56;1.41
;1.94;1.89;1.78;1.59;1.51;1.41
;1.94;1.88;1.78;1.61;1.55;1.40
;1.96;1.87;1.79;1.65;1.57;1.37
;1.95;1.89;1.80;1.64;1.57;1.44
;1.96;1.89;1.76;1.60;1.56;1.43
;1.94;1.86;1.75;1.63;1.55;1.44
;1.94;1.92;1.82;1.61;1.57;1.39
;1.94;1.84;1.79;1.59;1.57;1.43
;1.94;1.87;1.76;1.63;1.55;1.47
;1.94;1.85;1.78;1.60;1.57;1.42
;1.95;1.85;1.79;1.60;1.59;1.44
;1.95;1.82;1.77;1.60;1.59;1.48
;1.96;1.80;1.75;1.60;1.55;1.47
;1.94;1.79;1.74;1.59;1.55;1.43
;1.95;1.81;1.78;1.60;1.56;1.43
;1.94;1.82;1.78;1.59;1.56;1.42
;1.94;1.86;1.78;1.58;1.58;1.44
;1.94;1.85;1.78;1.61;1.56;1.43
;1.94;1.82;1.78;1.62;1.59;1.44
;1.96;1.80;1.76;1.61;1.55;1.44
;1.96;1.81;1.82;1.59;1.55;1.49
;1.95;1.82;1.79;1.58;1.57;1.46
;1.94;1.79;1.81;1.61;1.56;1.44
;1.94;1.84;1.81;1.59;1.54;1.43
;1.94;1.84;1.78;1.59;1.54;1.44
