date,aqi,dominentpol,pm25,pm10,o3,h,p,t,w,wg,type,avg,max,min
2024-06-12 13:00:00,33.0,pm25,33.0,,,30.5,1013.9,31.0,3.7,6.4,,,,
2024-06-10,,,,,,,,,,,o3,11.0,18.0,6.0
2024-06-11,,,,,,,,,,,o3,13.0,37.0,5.0
2024-06-12,,,,,,,,,,,o3,16.0,30.0,11.0
2024-06-13,,,,,,,,,,,o3,16.0,20.0,11.0
2024-06-14,,,,,,,,,,,o3,12.0,22.0,8.0
2024-06-15,,,,,,,,,,,o3,13.0,24.0,5.0
2024-06-16,,,,,,,,,,,o3,16.0,28.0,10.0
2024-06-10,,,,,,,,,,,pm10,3.0,5.0,2.0
2024-06-11,,,,,,,,,,,pm10,10.0,25.0,6.0
2024-06-12,,,,,,,,,,,pm10,10.0,17.0,7.0
2024-06-13,,,,,,,,,,,pm10,7.0,9.0,4.0
2024-06-14,,,,,,,,,,,pm10,6.0,9.0,4.0
2024-06-15,,,,,,,,,,,pm10,7.0,12.0,5.0
2024-06-16,,,,,,,,,,,pm10,7.0,9.0,5.0
2024-06-10,,,,,,,,,,,pm25,8.0,12.0,4.0
2024-06-11,,,,,,,,,,,pm25,29.0,75.0,13.0
2024-06-12,,,,,,,,,,,pm25,34.0,60.0,23.0
2024-06-13,,,,,,,,,,,pm25,23.0,32.0,10.0
2024-06-14,,,,,,,,,,,pm25,19.0,28.0,9.0
2024-06-15,,,,,,,,,,,pm25,24.0,43.0,12.0
2024-06-16,,,,,,,,,,,pm25,25.0,37.0,15.0
