date,aqi,dominentpol,pm25,pm10,o3,h,p,t,w,wg
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
2024-06-14,8,pm25,8,,,40,1016.5,25.1,7.3,11.3
